ORG_CODE,SCHOOL,DIST_NAME,SCH_NAME,STUDENTS_ENROLLED,AA,AS,HI,MR,NA,NH_PI,WH,EcoDis,SWD,ELL,FEMALE,MALE,NONBINARY,SCH_NAME,primary,secondary,SY
0212,02120505,North Attleborough,North Attleboro High,20,0,5,2,0,0,0,13,0,0,0,6,14,0,North Attleboro High,0,273,2018
0217,02170505,North Reading,North Reading High,4, , , , , , , , , , , , , ,North Reading High,0,76,2018
0220,02200505,Norwood,Norwood High,17,0,2,1,0,0,0,14,0,1,1,4,13,0,Norwood High,0,38,2018
0226,02260505,Oxford,Oxford High,1, , , , , , , , , , , , , ,Oxford High,63,108,2018
0229,02290510,Peabody,Peabody Veterans Memorial High,7,0,1,0,0,0,0,6,2,0,0,1,6,0,Peabody Veterans Memorial High,0,157,2018
0231,02310505,Pembroke,Pembroke High School,51,1,0,0,0,0,0,50,5,2,0,7,44,0,Pembroke High School,0,133,2018
0236,02360510,Pittsfield,Taconic High,18,2,0,1,1,0,0,14,2,0,0,6,12,0,Taconic High,0,47,2018
0239,02390505,Plymouth,Plymouth North High,19,0,1,0,0,0,0,18,2,0,0,4,15,0,Plymouth North High,1,137,2018
0239,02390515,Plymouth,Plymouth South High,21,0,1,2,0,0,0,18,0,0,0,7,14,0,Plymouth South High,0,67,2018
0243,02430505,Quincy,Quincy High,21,0,10,0,0,0,0,11,5,0,0,9,12,0,Quincy High,1,81,2018
0243,02430510,Quincy,North Quincy High,11,0,9,0,0,0,0,2,2,0,0,4,7,0,North Quincy High,0,234,2018
0246,02460505,Reading,Reading Memorial High,22,1,3,0,0,0,0,18,0,1,0,1,21,0,Reading Memorial High,0,130,2018
0248,02480505,Revere,Revere High,8,0,2,1,1,0,0,4,1,1,0,2,6,0,Revere High,0,454,2018
0251,02510505,Rockland,Rockland Senior High,1, , , , , , , , , , , , , ,Rockland Senior High,0,12,2018
0261,02610505,Sandwich,Sandwich High,12,0,0,0,0,0,0,12,0,1,0,4,8,0,Sandwich High,0,223,2018
0262,02620505,Saugus,Saugus High,16,0,3,1,0,0,0,12,4,0,0,8,8,0,Saugus High,0,96,2018
0264,02640505,Scituate,Scituate High School,45,0,0,0,1,0,0,44,3,2,0,15,30,0,Scituate High School,0,64,2018
0266,02660505,Sharon,Sharon High,45,1,22,1,2,0,0,19,1,0,1,12,33,0,Sharon High,0,174,2018
0274,02740505,Somerville,Somerville High,8,0,2,3,0,0,0,3,4,1,0,4,4,0,Somerville High,0,60,2018
0278,02780505,South Hadley,South Hadley High,11,0,0,2,0,0,0,9,0,1,0,0,11,0,South Hadley High,0,21,2018
0281,02810320,Springfield,John J Duggan Middle,10,1,0,6,0,0,0,3,4,1,0,1,9,0,John J Duggan Middle,15,16,2018
0281,02810500,Springfield,Springfield Central High,21,5,3,7,0,0,0,6,8,0,0,6,15,0,Springfield Central High,0,359,2018
0281,02810530,Springfield,Springfield High School of Science and Technology,17,4,0,10,0,0,0,3,15,0,0,3,14,0,Springfield High School of Science and Technology,1,153,2018
