ORG_CODE,School Code,DIST_NAME,SCH_NAME,STUDENTS_ENROLLED,AA,AS,HI,MR,NA,NH_PI,WH,EcoDis,SWD,ELL,FEMALE,MALE,NONBINARY
305,3050505,Wakefield,Wakefield Memorial High,21,0,5,0,0,0,0,16,2,0,0,5,16,0
307,3070505,Walpole,Walpole High,5, , , , , , , , , , , , , 
308,3080505,Waltham,Waltham Sr High,32,4,7,3,1,0,0,17,4,2,0,4,28,0
314,3140505,Watertown,Watertown High,6,0,0,1,0,0,0,5,2,0,0,2,4,0
317,3170505,Wellesley,Wellesley Sr High,45,1,5,2,3,0,0,34,3,1,1,25,20,0
321,3210505,Westborough,Westborough High,20,0,12,0,0,0,0,8,0,0,0,1,19,0
325,3250505,Westfield,Westfield High,2, , , , , , , , , , , , , 
326,3260505,Westford,Westford Academy,21,0,11,0,2,0,0,8,0,0,0,2,19,0
330,3300505,Weston,Weston High,32,1,12,0,0,0,0,19,0,1,0,10,22,0
335,3350505,Westwood,Westwood High,22,1,3,0,0,0,0,18,1,0,0,2,20,0
336,3360505,Weymouth,Weymouth High School,13,1,1,0,1,0,0,10,3,0,0,0,13,0
342,3420505,Wilmington,Wilmington High,1, , , , , , , , , , , , , 
344,3440505,Winchester,Winchester High School,74,2,18,1,1,0,0,52,2,2,0,20,54,0
348,3480512,Worcester,Doherty Memorial High,12,2,0,1,1,0,0,8,4,3,0,1,11,0
348,3480605,Worcester,Worcester Technical High,24,3,2,7,1,0,0,11,8,1,0,4,20,0
430,4300305,Advanced Math and Science Academy Charter (District),Advanced Math and Science Academy Charter School,35,3,15,0,1,0,0,16,0,1,0,14,21,0
446,4460550,Foxborough Regional Charter (District),Foxborough Regional Charter School,7,2,1,1,0,0,0,3,1,0,0,2,5,0
487,4870550,Prospect Hill Academy Charter (District),Prospect Hill Academy Charter School,44,16,5,14,1,0,0,8,4,1,0,19,25,0
488,4880550,South Shore Charter Public (District),South Shore Charter Public School,12,2,1,0,0,0,0,9,1,0,0,3,9,0
494,4940205,Pioneer Charter School of Science (District),Pioneer Charter School of Science,7,0,2,0,0,0,0,5,1,0,0,3,4,0
625,6250505,Bridgewater-Raynham,Bridgewater-Raynham Regional,13,0,0,0,1,0,0,12,0,0,0,3,10,0
640,6400505,Concord-Carlisle,Concord Carlisle High,1, , , , , , , , , , , , , 
645,6450505,Dennis-Yarmouth,Dennis-Yarmouth Regional High,20,0,3,1,0,0,0,16,1,0,0,2,18,0
655,6550505,Dover-Sherborn,Dover-Sherborn Regional High,1, , , , , , , , , , , , , 
658,6580505,Dudley-Charlton Reg,Shepherd Hill Regional High,17,0,1,1,0,0,0,15,2,0,0,3,13,1
660,6600505,Nauset,Nauset Regional High,1, , , , , , , , , , , , , 
665,6650505,Freetown-Lakeville,Apponequet Regional High,1, , , , , , , , , , , , , 
670,6700505,Frontier,Frontier Regional,11,0,0,0,1,0,0,10,1,0,0,0,11,0
675,6750505,Hamilton-Wenham,Hamilton-Wenham Regional High,21,0,1,0,1,0,0,19,1,0,0,0,21,0
680,6800505,Hampden-Wilbraham,Minnechaug Regional High,9,0,0,0,0,0,0,9,1,0,0,2,7,0
683,6830505,Hampshire,Hampshire Regional High,3, , , , , , , , , , , , , 
690,6900505,King Philip,King Philip Regional High,5, , , , , , , , , , , , , 
700,7000505,Martha's Vineyard,Martha's Vineyard Regional High,13,0,0,1,0,0,0,12,0,2,1,1,12,0
705,7050505,Masconomet,Masconomet Regional High School,25,0,0,1,0,0,0,24,0,1,0,4,21,0
710,7100510,Mendon-Upton,Nipmuc Regional High,14,0,1,0,2,0,0,11,0,0,0,4,10,0
725,7250505,Nashoba,Nashoba Regional,38,0,2,1,2,1,0,32,0,0,0,14,24,0
730,7300505,Northboro-Southboro,Algonquin Regional High,9,1,1,0,0,0,1,6,0,0,0,1,8,0
735,7350505,North Middlesex,North Middlesex Regional,1, , , , , , , , , , , , , 
753,7530505,Quabbin,Quabbin Regional High School,30,0,1,1,0,0,0,28,2,1,0,6,24,0
760,7600505,Silver Lake,Silver Lake Regional High,13,0,0,0,0,0,0,13,0,0,0,2,11,0
763,7630505,Somerset Berkley Regional School District,Somerset Berkley Regional High School,1, , , , , , , , , , , , , 
767,7670505,Spencer-E Brookfield,David Prouty High,1, , , , , , , , , , , , , 
770,7700505,Tantasqua,Tantasqua Regional Sr High,13,0,0,0,0,0,0,13,1,0,0,2,11,0
773,7730505,Triton,Triton Regional High School,6,0,0,0,0,0,0,6,0,1,0,0,6,0
805,8050605,Blackstone Valley Regional Vocational Technical,Blackstone Valley,2, , , , , , , , , , , , , 
818,8180605,Franklin County Regional Vocational Technical,Franklin County Technical,9,0,0,0,0,0,0,9,3,3,0,0,9,0
829,8290605,South Middlesex Regional Vocational Technical,Joseph P Keefe Technical High School,12,0,0,3,1,0,0,8,3,1,0,5,7,0
852,8520605,Nashoba Valley Regional Vocational Technical,Nashoba Valley Technical High School,9,0,0,0,1,0,0,8,0,1,0,1,8,0
860,8600605,Pathfinder Regional Vocational Technical,Pathfinder Vocational Technical,17,0,0,2,1,1,0,13,5,0,0,5,12,0
3902,39020900,TEC Connections Academy Commonwealth Virtual School District,TEC Connections Academy Commonwealth Virtual School,1, , , , , , , , , , , , , 
0,0,Massachusetts,Massachusetts,1976,93,334,113,55,2,3,1317,186,52,10,417,1499,1
