School Name,School Code,Tests Taken,Score=1,Score=2,Score=3,Score=4,Score=5,% Score 1-2,% Score 3-5
Waltham - Waltham Sr High,3080505,13,1,2,3,3,4,23.1,76.9
Watertown - Watertown High,3140505,7,,,,,,,
Wayland - Wayland High School,3150505,44,1,3,9,18,13,9.1,90.9
Wellesley - Wellesley Sr High,3170505,37,4,4,3,12,14,21.6,78.4
Westborough - Westborough High,3210505,12,1,0,1,6,4,8.3,91.7
Westfield - Westfield High,3250505,11,6,2,1,2,0,72.7,27.3
Westford - Westford Academy,3260505,37,0,3,2,7,25,8.1,91.9
Weston - Weston High,3300505,47,2,6,12,13,14,17,83
Westwood - Westwood High,3350505,16,0,1,2,6,7,6.3,93.8
Weymouth - Weymouth High School,3360505,6,,,,,,,
Wilmington - Wilmington High,3420505,1,,,,,,,
Winchester - Winchester High School,3440505,30,1,6,7,7,9,23.3,76.7
Winthrop - Winthrop High School,3460505,2,,,,,,,
Worcester - Doherty Memorial High,3480512,6,,,,,,,
Worcester - North High,3480515,19,18,0,1,0,0,94.7,5.3
Worcester - Worcester Technical High,3480605,18,10,2,3,2,1,66.7,33.3
Massachusetts,0,1792,297,152,303,345,434,2360.3,4239.8
