School Name,School Code,Tests Taken,Score=1,Score=2,Score=3,Score=4,Score=5,% Score 1-2,% Score 3-5
Abington - Abington High,10505,1,,,,,,,
Acton-Boxborough - Acton-Boxborough Regional High,6000505,70,0,1,16,19,34,1.4,98.6
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,36,0,0,5,13,18,0,100
Andover - Andover High,90505,21,0,1,2,2,16,4.8,95.2
Arlington - Arlington High,100505,18,0,0,2,3,13,0,100
Ashland - Ashland High,140505,3,,,,,,,
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,8010605,2,,,,,,,
Attleboro - Attleboro High,160505,17,2,4,3,5,3,35.3,64.7
Auburn - Auburn Senior High,170505,10,3,2,2,3,0,50,50
Barnstable - Barnstable High,200505,20,16,1,1,1,1,85,15
Bedford - Bedford High,230505,2,,,,,,,
Belchertown - Belchertown High,240505,3,,,,,,,
Belmont - Belmont High,260505,67,4,3,18,12,30,10.4,89.6
Billerica - Billerica Memorial High School,310505,6,,,,,,,
Blackstone Valley Regional Vocational Technical - Blackstone Valley,8050605,7,,,,,,,
Boston - Boston Latin,350560,61,7,6,19,15,14,21.3,78.7
Boston - East Boston High,350530,17,17,0,0,0,0,100,0
Boston - Lyon Upper 9-12,350655,1,,,,,,,
Braintree - Braintree High,400505,25,0,6,2,6,11,24,76
Brookline - Brookline High,460505,7,,,,,,,
Burlington - Burlington High,480505,12,5,3,1,1,2,66.7,33.3
Cambridge - Cambridge Rindge and Latin,490506,50,5,5,15,15,10,20,80
Canton - Canton High,500505,3,,,,,,,
Chelmsford - Chelmsford High,560505,16,4,2,3,3,4,37.5,62.5
Cohasset - Cohasset Middle/High School,650505,1,,,,,,,
Community Charter School of Cambridge (District) - Community Charter School of Cambridge,4360305,1,,,,,,,
Concord-Carlisle - Concord Carlisle High,6400505,20,0,0,1,7,12,0,100
Dartmouth - Dartmouth High,720505,1,,,,,,,
Dedham - Dedham High,730505,6,,,,,,,
Dennis-Yarmouth - Dennis-Yarmouth Regional High,6450505,14,11,3,0,0,0,100,0
Dover-Sherborn - Dover-Sherborn Regional High,6550505,2,,,,,,,
Dudley-Charlton Reg - Shepherd Hill Regional High,6580505,17,10,4,2,1,0,82.4,17.6
Duxbury - Duxbury High,820505,7,,,,,,,
East Longmeadow - East Longmeadow High,870505,7,,,,,,,
Easton - Oliver Ames High,880505,13,1,3,1,7,1,30.8,69.2
Everett - Everett High,930505,1,,,,,,,
Fall River - B M C Durfee High,950505,29,9,6,9,4,1,51.7,48.3
Falmouth - Falmouth High,960505,2,,,,,,,
Foxborough - Foxborough High,990505,3,,,,,,,
Foxborough Regional Charter (District) - Foxborough Regional Charter School,4460550,13,4,2,2,3,2,46.2,53.8
Framingham - Framingham High School,1000515,23,0,0,2,6,15,0,100
Francis W. Parker Charter Essential (District) - Francis W. Parker Charter Essential School,4780505,1,,,,,,,
Franklin - Franklin High,1010505,28,8,5,2,7,6,46.4,53.6
Franklin County Regional Vocational Technical - Franklin County Technical,8180605,7,,,,,,,
Freetown-Lakeville - Apponequet Regional High,6650505,3,,,,,,,
Frontier - Frontier Regional,6700505,1,,,,,,,
Gardner - Gardner High,1030505,1,,,,,,,
Gloucester - Gloucester High,1070505,9,,,,,,,
Grafton - Grafton High School,1100505,10,3,2,3,1,1,50,50
Greater New Bedford Regional Vocational Technical - Gr New Bedford Vocational Technical,8250605,2,,,,,,,
Hadley - Hopkins Academy,1170505,1,,,,,,,
Hamilton-Wenham - Hamilton-Wenham Regional High,6750505,18,5,6,3,2,2,61.1,38.9
Hampshire - Hampshire Regional High,6830505,1,,,,,,,
Hanover - Hanover High,1220505,1,,,,,,,
Harvard - Bromfield,1250505,3,,,,,,,
Haverhill - Haverhill High,1280505,15,9,2,2,0,2,73.3,26.7
Hingham - Hingham High,1310505,4,,,,,,,
Holliston - Holliston High,1360505,3,,,,,,,
Hopkinton - Hopkinton High,1390505,3,,,,,,,
Innovation Academy Charter (District) - Innovation Academy Charter School,4350305,1,,,,,,,
Ipswich - Ipswich High,1440505,1,,,,,,,
King Philip - King Philip Regional High,6900505,23,8,5,5,1,4,56.5,43.5
Lee - Lee Middle/High School,1500505,3,,,,,,,
Leicester - Leicester High,1510505,1,,,,,,,
Lexington - Lexington High,1550505,72,0,2,8,30,32,2.8,97.2
Lincoln-Sudbury - Lincoln-Sudbury Regional High,6950505,1,,,,,,,
Littleton - Littleton High School,1580505,4,,,,,,,
Longmeadow - Longmeadow High,1590505,26,0,1,9,5,11,3.8,96.2
Lowell - Lowell High,1600505,16,2,4,6,3,1,37.5,62.5
Ludlow - Ludlow Senior High,1610505,1,,,,,,,
Ma Academy for Math and Science - Ma Academy for Math and Science School,4680505,16,0,2,5,5,4,12.5,87.5
Malden - Malden High,1650505,35,4,3,6,13,9,20,80
Manchester Essex Regional - Manchester Essex Regional High School,6980510,6,,,,,,,
Marlborough - Marlborough High,1700505,20,11,2,3,3,1,65,35
Marshfield - Marshfield High,1710505,12,3,1,3,4,1,33.3,66.7
Masconomet - Masconomet Regional High School,7050505,11,1,2,4,3,1,27.3,72.7
Medfield - Medfield Senior High,1750505,4,,,,,,,
Medford - Medford High,1760505,2,,,,,,,
Medway - Medway High,1770505,2,,,,,,,
Melrose - Melrose High,1780505,21,15,2,2,1,1,81,19
Mendon-Upton - Nipmuc Regional High,7100510,12,1,1,2,4,4,16.7,83.3
Milton - Milton High,1890505,16,1,1,7,5,2,12.5,87.5
Minuteman Regional Vocational Technical - Minuteman Regional High,8300605,1,,,,,,,
Mount Greylock - Mt Greylock Regional High,7150505,2,,,,,,,
Nashoba - Nashoba Regional,7250505,3,,,,,,,
Nashoba Valley Regional Vocational Technical - Nashoba Valley Technical High School,8520605,3,,,,,,,
Natick - Natick High,1980505,45,3,9,9,7,17,26.7,73.3
Nauset - Nauset Regional High,6600505,1,,,,,,,
Needham - Needham High,1990505,13,0,1,2,1,9,7.7,92.3
Newburyport - Newburyport High,2040505,3,,,,,,,
Newton - Newton North High,2070505,2,,,,,,,
Newton - Newton South High,2070510,22,0,0,4,7,11,0,100
North Andover - North Andover High,2110505,1,,,,,,,
North Middlesex - North Middlesex Regional,7350505,2,,,,,,,
North Reading - North Reading High,2170505,4,,,,,,,
Northboro-Southboro - Algonquin Regional High,7300505,17,2,2,3,3,7,23.5,76.5
Norton - Norton High,2180505,1,,,,,,,
Norwood - Norwood High,2200505,2,,,,,,,
Peabody - Peabody Veterans Memorial High,2290510,7,,,,,,,
Pembroke - Pembroke High School,2310505,24,11,2,8,3,0,54.2,45.8
Pentucket - Pentucket Regional Sr High,7450505,22,4,3,10,4,1,31.8,68.2
Pioneer Charter School of Science (District) - Pioneer Charter School of Science,4940205,7,,,,,,,
Pioneer Charter School of Science II (PCSS-II) (District) - Pioneer Charter School of Science II (PCSS-II),35060505,5,,,,,,,
Plymouth - Plymouth North High,2390505,4,,,,,,,
Plymouth - Plymouth South High,2390515,1,,,,,,,
Prospect Hill Academy Charter (District) - Prospect Hill Academy Charter School,4870550,22,19,2,0,1,0,95.5,4.5
Quabbin - Quabbin Regional High School,7530505,2,,,,,,,
Quincy - North Quincy High,2430510,11,0,1,3,4,3,9.1,90.9
Quincy - Quincy High,2430505,21,1,2,5,8,5,14.3,85.7
Reading - Reading Memorial High,2460505,15,5,3,6,0,1,53.3,46.7
Revere - Revere High,2480505,8,,,,,,,
Sabis International Charter (District) - Sabis International Charter School,4410505,1,,,,,,,
Sandwich - Sandwich High,2610505,1,,,,,,,
Scituate - Scituate High School,2640505,12,2,0,6,2,2,16.7,83.3
Sharon - Sharon High,2660505,24,0,0,6,4,14,0,100
Shrewsbury - Shrewsbury Sr High,2710505,1,,,,,,,
Silver Lake - Silver Lake Regional High,7600505,6,,,,,,,
Somerville - Somerville High,2740505,7,,,,,,,
South Hadley - South Hadley High,2780505,11,1,1,6,2,1,18.2,81.8
Southeastern Regional Vocational Technical - Southeastern Regional Vocational Technical,8720605,12,11,0,1,0,0,91.7,8.3
Southern Worcester County Regional Vocational Technical - Bay Path Regional Vocational Technical High School,8760605,12,1,0,3,6,2,8.3,91.7
Stoughton - Stoughton High,2850505,14,11,0,3,0,0,78.6,21.4
Swansea - Joseph Case High,2920505,17,8,2,7,0,0,58.8,41.2
Tantasqua - Tantasqua Regional Sr High,7700505,5,,,,,,,
Tantasqua - Tantasqua Regional Vocational,7700605,2,,,,,,,
Taunton - Taunton High,2930505,13,5,2,1,4,1,53.8,46.2
Tri-County Regional Vocational Technical - Tri-County Regional Vocational Technical,8780605,2,,,,,,,
Triton - Triton Regional High School,7730505,7,,,,,,,
Upper Cape Cod Regional Vocational Technical - Upper Cape Cod Vocational Technical,8790605,6,,,,,,,
Wakefield - Wakefield Memorial High,3050505,2,,,,,,,
Walpole - Walpole High,3070505,8,,,,,,,
