School Name,School Code,Tests Taken,Score=1,Score=2,Score=3,Score=4,Score=5,% Score 1-2,% Score 3-5
North Attleborough - North Attleboro High,2120505,5,,,,,,,
North Brookfield - North Brookfield High,2150505,1,,,,,,,
North Middlesex - North Middlesex Regional,7350505,1,,,,,,,
North Reading - North Reading High,2170505,6,,,,,,,
Northboro-Southboro - Algonquin Regional High,7300505,15,2,1,4,2,6,20,80
Northbridge - Northbridge High,2140505,4,,,,,,,
Norwell - Norwell High,2190505,1,,,,,,,
Norwood - Norwood High,2200505,1,,,,,,,
Peabody - Peabody Veterans Memorial High,2290510,10,3,2,4,1,0,50,50
Pembroke - Pembroke High School,2310505,1,,,,,,,
Pioneer Charter School of Science (District) - Pioneer Charter School of Science,4940205,12,2,1,5,2,2,25,75
Pittsfield - Pittsfield High,2360505,4,,,,,,,
Pittsfield - Taconic High,2360510,10,8,0,2,0,0,80,20
Plymouth - Plymouth North High,2390505,4,,,,,,,
Plymouth - Plymouth South High,2390515,2,,,,,,,
Prospect Hill Academy Charter (District) - Prospect Hill Academy Charter School,4870550,18,11,2,4,1,0,72,28
Quincy - North Quincy High,2430510,17,0,2,6,2,7,12,88
Quincy - Quincy High,2430505,21,1,3,9,6,2,19,81
Reading - Reading Memorial High,2460505,25,2,7,10,4,2,36,64
Revere - Revere High,2480505,15,7,3,2,2,1,67,33
Salem - Salem High,2580505,6,,,,,,,
Saugus - Saugus High,2620505,18,6,4,6,2,0,56,44
Scituate - Scituate High School,2640505,10,0,2,5,2,1,20,80
Sharon - Sharon High,2660505,16,1,0,3,4,8,6,94
Shawsheen Valley Regional Vocational Technical - Shawsheen Valley Vocational Technical High School,8710605,15,10,4,0,1,0,93,7
Shrewsbury - Shrewsbury Sr High,2710505,1,,,,,,,
Silver Lake - Silver Lake Regional High,7600505,11,4,2,3,1,1,55,46
Somerville - Somerville High,2740505,35,8,12,6,4,5,57,43
South Hadley - South Hadley High,2780505,5,,,,,,,
South Shore Charter Public (District) - South Shore Charter Public School,4880550,1,,,,,,,
Southeastern Regional Vocational Technical - Southeastern Regional Vocational Technical,8720605,1,,,,,,,
Southern Worcester County Regional Vocational Technical - Bay Path Regional Vocational Technical High School,8760605,26,10,5,5,5,1,58,42
Southwick-Tolland-Granville Regional School District - Southwick Regional School,7660505,1,,,,,,,
Springfield - Roger L. Putnam Vocational Technical Academy,2810620,7,,,,,,,
Springfield - Springfield Central High,2810500,28,20,2,5,1,0,79,21
Stoughton - Stoughton High,2850505,15,6,4,1,4,0,67,33
Swampscott - Swampscott High,2910505,1,,,,,,,
Swansea - Joseph Case High,2920505,9,,,,,,,
Tantasqua - Tantasqua Regional Sr High,7700505,7,,,,,,,
Taunton - Taunton High,2930505,8,,,,,,,
Tewksbury - Tewksbury Memorial High,2950505,1,,,,,,,
Tri County Regional Vocational Technical - Tri County Regional Vocational Technical,8780605,14,12,1,1,0,0,93,7
Triton - Triton Regional High School,7730505,11,2,3,4,2,0,46,55
Wakefield - Wakefield Memorial High,3050505,4,,,,,,,
Walpole - Walpole High,3070505,1,,,,,,,
Waltham - Waltham Sr High,3080505,1,,,,,,,
Watertown - Watertown High,3140505,7,,,,,,,
Wayland - Wayland High School,3150505,48,2,9,15,9,13,23,77
Wellesley - Wellesley Sr High,3170505,42,1,3,16,17,5,10,91
Westborough - Westborough High,3210505,16,0,0,1,5,10,0,100
Westfield - Westfield High,3250505,3,,,,,,,
Westford - Westford Academy,3260505,16,0,0,2,3,11,0,100
Weston - Weston High,3300505,23,0,2,11,5,5,9,91
Westwood - Westwood High,3350505,21,0,0,4,3,14,0,100
Weymouth - Weymouth High School,3360505,14,3,2,6,2,1,36,64
Whitman-Hanson - Whitman Hanson Regional,7800505,15,7,3,3,1,1,67,33
Winchester - Winchester High School,3440505,28,3,4,6,2,13,25,75
Winthrop - Winthrop Sr High,3460505,5,,,,,,,
Worcester - Doherty Memorial High,3480512,4,,,,,,,
Worcester - South High Community,3480520,2,,,,,,,
Worcester - Worcester Technical High,3480605,16,6,2,6,1,1,50,50
Massachusetts,0,1815,326,193,353,293,377,2938,4563
