School Code,District,School Name,# STUDENTS ENROLLED,# STUDENTS ENROLLED PRIOR TO SECONDARY LEVEL,# STUDENTS ENROLLED AT SECONDARY LEVEL
00010405,Abington,Frolio Middle School,322,322,0
00010505,Abington,Abington High,20,1,19
00030025,Acushnet,Acushnet Elementary School,2,2,0
00030305,Acushnet,Albert F Ford Middle School,416,416,0
00050303,Agawam,Roberta G. Doering School,498,498,0
00050405,Agawam,Agawam Junior High,296,296,0
00050505,Agawam,Agawam High,131,0,131
00070005,Amesbury,Amesbury Elementary,304,304,0
00070010,Amesbury,Charles C Cashman Elementary,362,362,0
00070013,Amesbury,Amesbury Middle,401,400,1
00070505,Amesbury,Amesbury High,188,0,188
00080009,Amherst,Crocker Farm Elementary,333,333,0
00080020,Amherst,Fort River Elementary,327,327,0
00080050,Amherst,Wildwood Elementary,400,400,0
00090505,Andover,Andover High,181,0,181
00100410,Arlington,Ottoson Middle,1196,1196,0
00100505,Arlington,Arlington High,116,0,116
00140010,Ashland,Henry E Warren Elementary,612,612,0
00140015,Ashland,David Mindess,623,623,0
00140505,Ashland,Ashland High,119,0,119
00160001,Attleboro,A. Irvin Studley Elementary School,447,447,0
00160035,Attleboro,Thomas Willett Elementary School,459,459,0
00160040,Attleboro,Hyman Fine Elementary School,459,459,0
00160045,Attleboro,Hill-Roberts Elementary School,472,472,0
00160050,Attleboro,Peter Thacher Elementary School,389,389,0
00160505,Attleboro,Attleboro High,46,0,46
00170305,Auburn,Auburn Middle,247,247,0
00170505,Auburn,Auburn Senior High,220,0,220
00180010,Avon,Ralph D Butler,232,232,0
00180510,Avon,Avon Middle High School,117,56,61
00200025,Barnstable,Hyannis West Elementary,1,1,0
00200045,Barnstable,West Villages Elementary School,1,1,0
00200315,Barnstable,Barnstable Intermediate School,648,648,0
00200505,Barnstable,Barnstable High,21,0,21
00230505,Bedford,Bedford High,143,0,143
00240025,Belchertown,Jabish Middle School,339,339,0
00240505,Belchertown,Belchertown High,193,0,193
00250020,Bellingham,South Elementary,1,1,0
00250315,Bellingham,Bellingham Memorial School,346,346,0
00250505,Bellingham,Bellingham High School,184,184,0
00250510,Bellingham,Keough Memorial Academy,1,1,0
00260505,Belmont,Belmont High,47,0,47
00270010,Berkley,Berkley Community School,467,467,0
00270305,Berkley,Berkley Middle School,388,388,0
00280005,Berlin,Berlin Memorial,92,92,0
00300305,Beverly,Briscoe Middle,948,948,0
00300505,Beverly,Beverly High,103,0,103
00310005,Billerica,Thomas Ditson,538,538,0
00310007,Billerica,Frederick J Dutile,290,290,0
00310012,Billerica,John F Kennedy,319,319,0
00310015,Billerica,Parker,486,486,0
00310026,Billerica,Hajjar Elementary,473,473,0
00310030,Billerica,Eugene C Vining,192,192,0
00310305,Billerica,Marshall Middle School,411,411,0
00310310,Billerica,Locke Middle,344,344,0
00310505,Billerica,Billerica Memorial High School,202,0,202
00350004,Boston,Lyon K-8,102,102,0
00350008,Boston,Dr. Catherine Ellison-Rosa Parks Early Ed School,1,1,0
00350013,Boston,Jackson Mann,521,521,0
00350021,Boston,Beethoven,299,299,0
00350052,Boston,Charles Sumner,503,503,0
00350072,Boston,David A Ellis,383,383,0
00350074,Boston,Dearborn,255,255,0
00350080,Boston,Donald Mckay,698,698,0
00350096,Boston,Eliot Elementary,431,431,0
00350116,Boston,Franklin D Roosevelt,133,133,0
00350122,Boston,George H Conley,96,96,0
00350135,Boston,Henry Grew,236,236,0
00350138,Boston,O W Holmes,2,2,0
00350141,Boston,Hugh Roe O'Donnell,250,250,0
00350146,Boston,James Condon Elementary,699,699,0
00350153,Boston,James W Hennigan,284,284,0
00350154,Boston,James J Chittick,1,1,0
00350156,Boston,James Otis,351,351,0
00350166,Boston,John F Kennedy,351,351,0
00350167,Boston,UP Academy Holland,2,2,0
00350181,Boston,Joseph P Tynan,1,1,0
00350182,Boston,Joseph J Hurley,36,36,0
00350183,Boston,Joseph Lee,126,126,0
00350200,Boston,Harvard-Kent,472,472,0
00350215,Boston,Manassah E Bradley,245,245,0
00350226,Boston,Mattahunt,506,506,0
00350227,Boston,Mather,550,550,0
00350229,Boston,Maurice J Tobin,436,436,0
00350231,Boston,Michael J Perkins,213,213,0
00350237,Boston,Mozart,22,22,0
00350240,Boston,Richard J Murphy,475,475,0
00350243,Boston,Nathan Hale,159,159,0
00350255,Boston,Oliver Hazard Perry,170,170,0
00350258,Boston,William H Ohrenberger,610,610,0
00350262,Boston,Lyndon,203,203,0
00350268,Boston,Paul A Dever,268,268,0
00350286,Boston,Josiah Quincy,629,629,0
00350302,Boston,Samuel Adams,239,239,0
00350304,Boston,Samuel W Mason,76,76,0
00350308,Boston,Sarah Greenwood,436,436,0
00350326,Boston,Gardner Pilot Academy,1,1,0
00350328,Boston,Thomas J Kenny,2,2,0
00350346,Boston,Warren-Prescott,53,53,0
00350360,Boston,William Ellery Channing,207,207,0
00350363,Boston,William McKinley,78,71,7
00350366,Boston,William E Russell,1,1,0
00350370,Boston,William Monroe Trotter,455,455,0
00350374,Boston,Winship Elementary,179,179,0
00350376,Boston,King K-8,1,1,0
00350377,Boston,Higginson/Lewis K-8,1,1,0
00350378,Boston,Mildred Avenue K-8,1,1,0
00350380,Boston,Young Achievers,180,180,0
00350390,Boston,Blackstone,410,410,0
00350426,Boston,Dr. William Henderson Upper,289,289,0
00350430,Boston,Clarence R Edwards Middle,173,173,0
00350445,Boston,Washington Irving Middle,250,250,0
00350505,Boston,Brighton High,93,76,26
00350507,Boston,Boston International High School,218,181,39
00350515,Boston,Charlestown High,65,65,0
00350518,Boston,Community Academy,2,2,0
00350522,Boston,Excel High School,122,62,60
00350525,Boston,Jeremiah E Burke High,70,70,0
00350530,Boston,East Boston High,232,232,0
00350537,Boston,Madison Park High,64,6,58
00350540,Boston,Fenway High School,17,17,0
00350541,Boston,Another Course To College,1,1,0
00350542,Boston,New Mission High School,81,73,9
00350543,Boston,Greater Egleston Community High School,2,0,2
00350545,Boston,,133,85,54
00350546,Boston,Boston Arts Academy,16,16,0
