School Code,District,School Name,# STUDENTS ENROLLED,# STUDENTS ENROLLED PRIOR TO SECONDARY LEVEL,# STUDENTS ENROLLED AT SECONDARY LEVEL
00350548,Boston,Boston Adult Academy,7,0,7
00350549,Boston,Margarita Muniz Academy,67,0,67
00350558,Boston,Boston Community Leadership Academy,101,0,101
00350560,Boston,Boston Latin,108,108,0
00350565,Boston,Quincy Upper School,47,0,47
00350575,Boston,O'Bryant School Math/Science,285,134,179
00350579,Boston,Urban Science Academy,115,87,40
00350581,Boston,Community Academy of Science and Health,33,22,11
00350651,Boston,Dorchester Academy,43,43,0
00350655,Boston,Lyon Upper 9-12,39,29,10
00350656,Boston,Mario Umana Academy,67,67,0
00350657,Boston,TechBoston Academy,361,307,78
00350658,Boston,West Roxbury Academy,49,49,0
00350750,Boston,Horace Mann School for the Deaf,59,59,0
00350755,Boston,Boston Collaborative High School,33,32,1
00360005,Bourne,Bournedale Elementary School,355,355,0
00360010,Bourne,Peebles Elementary School,343,343,0
00360325,Bourne,Bourne Middle School,517,517,0
00360505,Bourne,Bourne High School,1,0,1
00390005,Boylston,Boylston Elementary,265,265,0
00400305,Braintree,East Middle School,229,229,0
00400310,Braintree,South Middle School,226,226,0
00400505,Braintree,Braintree High,60,0,60
00410005,Brewster,Stony Brook Elementary,227,227,0
00410010,Brewster,Eddy Elementary,235,235,0
00440023,Brockton,Edgar B Davis,1,1,0
00440080,Brockton,Frederick Douglass Academy,1,0,1
00440415,Brockton,South Middle School,163,163,0
00440420,Brockton,West Middle School,2,2,0
00440421,Brockton,Ashfield Middle School,1,1,0
00440422,Brockton,Joseph F. Plouffe Academy,687,687,0
00440505,Brockton,Brockton High,462,0,462
00440520,Brockton,Edison Academy,2,0,2
00450005,Brookfield,Brookfield Elementary,1,1,0
00460020,Brookline,Michael Driscoll,66,66,0
00460035,Brookline,William H Lincoln,53,53,0
00460040,Brookline,Pierce,86,86,0
00460045,Brookline,John D Runkle,58,58,0
00460505,Brookline,Brookline High,129,0,129
00480303,Burlington,Marshall Simonds Middle,767,767,0
00480505,Burlington,Burlington High,116,0,116
00490305,Cambridge,Cambridge Street Upper School,2,2,0
00490506,Cambridge,Cambridge Rindge and Latin,103,0,103
00500305,Canton,Wm H Galvin Middle,723,723,0
00500505,Canton,Canton High,48,0,48
00520015,Carver,Carver Elementary School,1,1,0
00520405,Carver,Carver Middle/High School,116,82,34
00560305,Chelmsford,Col Moses Parker School,350,350,0
00560310,Chelmsford,McCarthy Middle School,409,409,0
00560505,Chelmsford,Chelmsford High,125,0,125
00570030,Chelsea,Edgar A Hooks Elementary,1,1,0
00570035,Chelsea,George F. Kelly Elementary,1,1,0
00570045,Chelsea,Eugene Wright Science and Technology Academy,488,488,0
00570050,Chelsea,Clark Avenue School,534,534,0
00570055,Chelsea,Joseph A. Browne School,453,453,0
00570505,Chelsea,Chelsea High,443,0,443
00610003,Chicopee,Barry,419,419,0
00610010,Chicopee,Belcher,258,258,0
00610015,Chicopee,Bowe,415,415,0
00610022,Chicopee,Litwin,389,389,0
00610065,Chicopee,Streiber Memorial School,283,283,0
00610090,Chicopee,Gen John J Stefanik,373,373,0
00610305,Chicopee,Bellamy Middle,278,278,0
00610310,Chicopee,Dupont Middle,366,366,0
00610505,Chicopee,Chicopee High,80,0,80
00610510,Chicopee,Chicopee Comprehensive High School,183,0,183
00630010,Clarksburg,Clarksburg Elementary,121,121,0
00640050,Clinton,Clinton Elementary,476,476,0
00640305,Clinton,Clinton Middle School,248,248,0
00640505,Clinton,Clinton Senior High,90,4,86
00650010,Cohasset,Joseph Osgood,342,342,0
00650505,Cohasset,Cohasset Middle/High School,116,0,116
00670305,Concord,Concord Middle,390,390,0
00680005,Conway,Conway Grammar,121,121,0
00710030,Danvers,Riverside,1,1,0
00710305,Danvers,Holten Richmond Middle School,543,543,0
00710505,Danvers,Danvers High,268,0,268
00720050,Dartmouth,Dartmouth Middle,821,821,0
00720505,Dartmouth,Dartmouth High,18,0,18
00730305,Dedham,Dedham Middle School,596,596,0
00730505,Dedham,Dedham High,52,0,52
00740015,Deerfield,Deerfield Elementary,362,362,0
00770505,Douglas,Douglas High School,77,0,77
00780005,Dover,Chickering,477,477,0
00790030,Dracut,Greenmont Avenue,1,1,0
00790045,Dracut,George H. Englesby Elementary School,1,1,0
00790410,Dracut,Justus C. Richardson Middle School,304,304,0
00790505,Dracut,Dracut Senior High,208,0,208
00820004,Duxbury,Alden School,1,1,0
00820505,Duxbury,Duxbury High,37,0,37
00830005,East Bridgewater,Central,396,396,0
00830010,East Bridgewater,Gordon W Mitchell,686,686,0
00830505,East Bridgewater,East Bridgewater JR./SR. High School,177,0,177
00850005,Eastham,Eastham Elementary,170,170,0
00860010,Easthampton,Maple,1,1,0
00860505,Easthampton,Easthampton High,124,0,124
00870305,East Longmeadow,Birchland Park,118,118,0
00870505,East Longmeadow,East Longmeadow High,139,0,139
00880003,Easton,Center School,241,241,0
00880015,Easton,Parkview Elementary,293,293,0
00880020,Easton,Moreau Hall,223,223,0
00880025,Easton,Richardson Olmsted School,829,829,0
00880405,Easton,Easton Middle School,646,646,0
00880505,Easton,Oliver Ames High,25,0,25
00890005,Edgartown,Edgartown Elementary,342,342,0
00910030,Erving,Erving Elementary,139,139,0
00930010,Everett,Sumner G. Whittier School,620,620,0
00930018,Everett,Madeline English School,838,838,0
00930028,Everett,George Keverian School,919,919,0
00930030,Everett,Devens School,2,2,0
00930038,Everett,Lafayette School,938,938,0
00930058,Everett,Parlin School,920,920,0
00930505,Everett,Everett High,72,0,72
00940030,Fairhaven,Leroy Wood,352,352,0
00940305,Fairhaven,Hastings Middle,417,417,0
00940505,Fairhaven,Fairhaven High,32,0,32
00950011,Fall River,Mary Fonseca Elementary School,1,1,0
00950065,Fall River,William S Greene,1,1,0
00950315,Fall River,Morton Middle,2,2,0
00950325,Fall River,Resiliency Preparatory School,1,0,1
00950505,Fall River,B M C Durfee High,156,0,156
00960005,Falmouth,East Falmouth Elementary,268,268,0
00960015,Falmouth,Teaticket,280,280,0
00960020,Falmouth,Mullen-Hall,446,446,0
00960030,Falmouth,North Falmouth Elementary,317,317,0
00960305,Falmouth,Morse Pond School,590,590,0
00960405,Falmouth,Lawrence,279,279,0
00960505,Falmouth,Falmouth High,140,0,140
00970048,Fitchburg,Memorial Intermediate,516,516,0
00970315,Fitchburg,Arthur M Longsjo Middle School,249,249,0
00970505,Fitchburg,Fitchburg High,187,0,187
00970510,Fitchburg,Goodrich Academy,1,0,1
00980005,Florida,Abbott Memorial,70,70,0
00990405,Foxborough,John J Ahern,469,466,7
00990505,Foxborough,Foxborough High,99,0,99
01000515,Framingham,Framingham High School,188,0,188
01010040,Franklin,Annie Sullivan Middle School,457,457,0
01010310,Franklin,Remington Middle,456,456,0
01010405,Franklin,Horace Mann,463,463,0
01010505,Franklin,Franklin High,173,10,163
01030405,Gardner,Gardner Middle School,526,526,0
01030505,Gardner,Gardner High,1,0,1
01050010,Georgetown,Penn Brook,690,690,0
01050305,Georgetown,Georgetown Middle School,192,192,0
01050505,Georgetown,Georgetown High School,137,0,137
01070505,Gloucester,Gloucester High,195,0,195
01090005,Gosnold,Cuttyhunk Elementary,2,2,0
01100030,Grafton,North Street Elementary School,593,593,0
01100200,Grafton,Millbury Street Elementary School,674,674,0
01100305,Grafton,Grafton Middle,478,478,0
01100505,Grafton,Grafton High School,70,0,70
01110004,Granby,East Meadow,169,169,0
01110010,Granby,West Street,174,174,0
01110505,Granby,Granby Jr Sr High School,182,130,52
01140010,Greenfield,Federal Street School,242,242,0
01140025,Greenfield,Discovery School at Four Corners,239,239,0
01140030,Greenfield,Green River,6,6,0
01140305,Greenfield,Greenfield Middle,296,296,0
01170505,Hadley,Hopkins Academy,58,49,9
01180005,Halifax,Halifax Elementary,253,253,0
01210005,Hancock,Hancock Elementary,33,33,0
01220004,Hanover,Cedar Elementary,362,362,0
01220005,Hanover,Center Elementary,352,352,0
01220015,Hanover,Sylvester,227,227,0
01220305,Hanover,Hanover Middle,834,834,0
01220505,Hanover,Hanover High,21,0,21
01250005,Harvard,Hildreth Elementary School,425,425,0
01250505,Harvard,Bromfield,31,22,9
01270005,Hatfield,Hatfield Elementary,222,222,0
01270505,Hatfield,Smith Academy,38,38,0
01280033,Haverhill,Haverhill Alternative School,7,0,7
01280073,Haverhill,TEACH,6,0,6
01280505,Haverhill,Haverhill High,518,0,518
01310410,Hingham,Hingham Middle School,352,352,0
01310505,Hingham,Hingham High,226,0,226
01330018,Holbrook,John F Kennedy,1,1,0
01330505,Holbrook,Holbrook Jr Sr High,186,186,0
01360007,Holliston,Miller School,679,679,0
01360505,Holliston,Holliston High,10,0,10
01370015,Holyoke,Lt Elmer J McMahon Elementary,378,378,0
01370040,Holyoke,Kelly Elementary,137,137,0
01370045,Holyoke,E N White Elementary,432,432,0
01370055,Holyoke,Lt Clayre Sullivan Elementary,303,303,0
01370060,Holyoke,Maurice A Donahue Elementary,412,412,0
01370505,Holyoke,Holyoke High,441,0,441
01380505,Hopedale,Hopedale Jr Sr High,98,84,14
01390015,Hopkinton,Hopkins Elementary School,499,499,0
01390305,Hopkinton,Hopkinton Middle School,572,572,0
01390505,Hopkinton,Hopkinton High,55,0,55
01410007,Hudson,Mulready Elementary,236,236,0
01410015,Hudson,Forest Avenue Elementary,333,333,0
01410030,Hudson,C A Farley,471,471,0
01410505,Hudson,Hudson High,281,208,92
01420015,Hull,Lillian M Jacobs,359,359,0
01420305,Hull,Memorial Middle,1,1,0
01420505,Hull,Hull High,10,0,10
01440505,Ipswich,Ipswich High,20,0,20
01450020,Kingston,Kingston Intermediate,580,580,0
01480005,Lanesborough,Lanesborough Elementary,202,202,0
01490002,Lawrence,Lawlor Early Childhood Center,1,1,0
01490004,Lawrence,South Lawrence East Elementary School,1,1,0
01490018,Lawrence,Robert Frost,590,590,0
01490048,Lawrence,Oliver Partnership School,1,1,0
01490053,Lawrence,Edward F. Parthum,627,627,0
01490085,Lawrence,Spark Academy,1,1,0
01490515,Lawrence,Lawrence High School,101,0,101
01490537,Lawrence,School for Exceptional Studies,8,0,8
01500505,Lee,Lee Middle/High School,139,96,43
01510505,Leicester,Leicester High,141,0,141
01520015,Lenox,Morris,254,254,0
01520505,Lenox,Lenox Memorial High,146,130,16
01530045,Leominster,Samoset School,1,1,0
01530505,Leominster,Leominster High School,15,0,15
01530605,Leominster,Center For Technical Education Innovation,38,0,38
01540005,Leverett,Leverett Elementary,112,112,0
01550305,Lexington,Jonas Clarke Middle,307,307,0
01550310,Lexington,Wm Diamond Middle,356,356,0
01550505,Lexington,Lexington High,348,0,348
01570025,Lincoln,Lincoln School,401,401,0
01570305,Lincoln,Hanscom Middle,237,237,0
01580305,Littleton,Littleton Middle School,350,350,0
01580505,Littleton,Littleton High School,111,0,111
01590005,Longmeadow,Blueberry Hill,424,424,0
01590010,Longmeadow,Center,402,402,0
01590017,Longmeadow,Glenbrook Middle,314,314,0
01590025,Longmeadow,Wolf Swamp Road,343,343,0
01590305,Longmeadow,Williams Middle,341,341,0
01590505,Longmeadow,Longmeadow High,58,0,58
01600018,Lowell,Pyne Arts,469,469,0
01600030,Lowell,Charles W Morey,2,2,0
01600090,Lowell,Bartlett Community Partnership,454,454,0
01600310,Lowell,B.F. Butler Middle School,5,5,0
01600315,Lowell,James S Daley Middle School,608,608,0
01600320,Lowell,Leblanc Therapeutic Day School,1,1,0
01600330,Lowell,Henry J Robinson Middle,555,555,0
01600340,Lowell,James Sullivan Middle School,465,465,0
01600345,Lowell,Dr An Wang School,682,682,0
01600360,Lowell,Kathryn P. Stoklosa Middle School,2,2,0
01600505,Lowell,Lowell High,192,0,192
01600515,Lowell,The Career Academy,13,0,13
01610023,Ludlow,Veterans Park Elementary,358,358,0
01610305,Ludlow,Paul R Baird Middle,162,162,0
01610505,Ludlow,Ludlow Senior High,60,0,60
01620305,Lunenburg,Lunenburg Middle School,118,118,0
01620505,Lunenburg,Lunenburg High,1,0,1
01630005,Lynn,Washington Elementary School,1,1,0
01630035,Lynn,Cobbet Elementary,1,1,0
01630085,Lynn,Sewell-Anderson,1,1,0
01630100,Lynn,Tracy,1,1,0
01630305,Lynn,Thurgood Marshall Mid,2,2,0
01630505,Lynn,Classical High,384,0,384
01630510,Lynn,Lynn English High,360,0,360
01630525,Lynn,Fecteau-Leary Junior/Senior High School,2,0,2
01630605,Lynn,Lynn Vocational Technical Institute,3,0,3
01640405,Lynnfield,Lynnfield Middle School,525,525,0
01640505,Lynnfield,Lynnfield High,15,0,15
01650003,Malden,Beebe,348,348,0
01650013,Malden,Ferryway,378,378,0
01650027,Malden,Forestdale,217,217,0
01650047,Malden,Linden,382,382,0
01650057,Malden,Salemwood,342,342,0
01650505,Malden,Malden High,63,0,63
01670007,Mansfield,Everett W Robinson,1,1,0
01670014,Mansfield,Jordan/Jackson Elementary,1,1,0
01670035,Mansfield,Harold L Qualters Middle,293,293,0
01670505,Mansfield,Mansfield High,214,0,214
01680300,Marblehead,Marblehead Veterans Middle School,454,454,0
01680505,Marblehead,Marblehead High,23,0,23
01700045,Marlborough,1 LT Charles W. Whitcomb School,1274,1274,0
01700505,Marlborough,Marlborough High,429,0,429
01710310,Marshfield,Furnace Brook Middle,564,564,0
01710505,Marshfield,Marshfield High,380,0,380
01720005,Mashpee,Kenneth Coombs School,335,335,0
01720035,Mashpee,Quashnet School,478,478,0
01720505,Mashpee,Mashpee High,43,0,43
01730005,Mattapoisett,Center,212,212,0
01730010,Mattapoisett,Old Hammondtown,210,210,0
01740010,Maynard,Green Meadow,443,443,0
01740305,Maynard,Fowler School,224,224,0
01740505,Maynard,Maynard High,125,105,20
01750305,Medfield,Thomas Blake Middle,393,393,0
01750505,Medfield,Medfield Senior High,65,0,65
01760068,Medford,John J McGlynn Elementary School,497,497,0
01760130,Medford,Brooks School,454,454,0
01760140,Medford,Christopher Columbus,401,401,0
01760150,Medford,Milton Fuller Roberts,547,547,0
01760315,Medford,Madeleine Dugger Andrews,493,493,0
01760320,Medford,John J. McGlynn Middle School,467,467,0
01760505,Medford,Medford High,106,0,106
01760510,Medford,Curtis-Tufts,1,0,1
01760605,Medford,Medford Vocational Technical High,12,0,12
01770015,Medway,Burke/Memorial Elementary School,156,156,0
01770305,Medway,Medway Middle,660,660,0
01770505,Medway,Medway High,86,0,86
01780305,Melrose,Melrose Middle,352,352,0
01780505,Melrose,Melrose High,47,0,47
01810050,Methuen,Comprehensive Grammar School,1,1,0
01810055,Methuen,Tenney Grammar School,1,1,0
01810505,Methuen,Methuen High,114,0,114
01820008,Middleborough,Henry B. Burkland Elementary School,570,570,0
01820010,Middleborough,Mary K. Goode Elementary School,587,587,0
01820011,Middleborough,Memorial Early Childhood Center,209,209,0
01820305,Middleborough,John T. Nichols Middle,783,783,0
01820505,Middleborough,Middleborough High,320,0,320
01840003,Middleton,Fuller Meadow,146,146,0
01840005,Middleton,Howe-Manning,400,400,0
01850090,Milford,Woodland,639,639,0
01850305,Milford,Stacy Middle,785,785,0
01850505,Milford,Milford High,130,0,130
01860017,Millbury,Elmwood Street,512,512,0
01860025,Millbury,Raymond E. Shaw Elementary,434,434,0
01860505,Millbury,Millbury Junior/Senior High,394,251,143
01870020,Millis,Millis Middle,62,62,0
01870505,Millis,Millis High School,95,0,95
01890410,Milton,Charles S Pierce Middle,458,458,0
01890505,Milton,Milton High,268,0,268
01910025,Monson,Quarry Hill Community School,325,325,0
01910310,Monson,Granite Valley Middle,253,253,0
01910505,Monson,Monson High School,27,0,27
01970005,Nantucket,Nantucket Elementary,684,684,0
01970505,Nantucket,Nantucket High,10,0,10
01980305,Natick,J F Kennedy Middle School,56,56,0
01980505,Natick,Natick High,107,0,107
01990405,Needham,Pollard Middle,402,402,0
01990410,Needham,High Rock School,372,372,0
01990505,Needham,Needham High,98,0,98
02010405,New Bedford,Keith Middle School,1,1,0
02010410,New Bedford,Normandin Middle School,2,2,0
02010505,New Bedford,New Bedford High,410,0,410
02010515,New Bedford,Whaling City Junior/Senior High School,12,0,12
02040505,Newburyport,Newburyport High,56,0,56
02070505,Newton,Newton North High,326,0,326
02070510,Newton,Newton South High,217,0,217
02080015,Norfolk,H Olive Day,1,1,0
02090505,North Adams,Drury High,49,0,49
02100410,Northampton,John F Kennedy Middle School,396,396,0
02100505,Northampton,Northampton High,66,0,66
02110305,North Andover,North Andover Middle,1098,1098,0
02110505,North Andover,North Andover High,325,0,325
02120007,North Attleborough,Amvet Boulevard,2,2,0
02120010,North Attleborough,Falls,1,1,0
02120030,North Attleborough,Community,2,2,0
02120505,North Attleborough,North Attleboro High,238,0,238
02130015,Northborough,Fannie E Proctor,1,1,0
02140001,Northbridge,W Edward Balmer,517,517,0
02140005,Northbridge,Northbridge Elementary,1,1,0
02140505,Northbridge,Northbridge High,174,0,174
02150505,North Brookfield,North Brookfield High,1,1,0
02170305,North Reading,North Reading Middle,425,425,0
02170505,North Reading,North Reading High,105,0,105
02180010,Norton,L G Nourse Elementary,272,272,0
02180015,Norton,J C Solmonese,390,390,0
02180060,Norton,Henri A. Yelle,373,373,0
02180305,Norton,Norton Middle,587,587,0
02180505,Norton,Norton High,105,0,105
02190005,Norwell,Grace Farrar Cole,244,244,0
02190020,Norwell,William G Vinal,249,249,0
02190405,Norwell,Norwell Middle School,226,226,0
02190505,Norwell,Norwell High,46,0,46
02200305,Norwood,Dr. Philip O. Coakley Middle School,460,460,0
02200505,Norwood,Norwood High,25,0,25
02210005,Oak Bluffs,Oak Bluffs Elementary,278,278,0
02230010,Orange,Dexter Park,242,242,0
02230015,Orange,Fisher Hill,195,195,0
02240005,Orleans,Orleans Elementary,220,220,0
02260405,Oxford,Oxford Middle,1,1,0
02260505,Oxford,Oxford High,105,53,52
02270008,Palmer,Old Mill Pond,631,631,0
02270505,Palmer,Palmer High,121,121,0
02290305,Peabody,J Henry Higgins Middle,908,908,0
02290510,Peabody,Peabody Veterans Memorial High,203,0,203
02300005,Pelham,Pelham Elementary,124,124,0
02310305,Pembroke,Pembroke Community Middle School,169,169,0
02310505,Pembroke,Pembroke High School,154,0,154
02340005,Petersham,Petersham Center,112,112,0
02360505,Pittsfield,Pittsfield High,23,0,23
02360510,Pittsfield,Taconic High,69,0,69
02390005,Plymouth,Cold Spring,250,250,0
02390010,Plymouth,Hedge,216,216,0
02390011,Plymouth,Federal Furnace School,408,408,0
02390012,Plymouth,Indian Brook,562,562,0
02390015,Plymouth,Manomet Elementary,299,299,0
02390030,Plymouth,Nathaniel Morton Elementary,582,582,0
02390046,Plymouth,South Elementary,540,540,0
02390047,Plymouth,West Elementary,387,387,0
02390305,Plymouth,Plymouth South Middle,250,250,0
02390405,Plymouth,Plymouth Commun Intermediate,161,161,0
02390505,Plymouth,Plymouth North High,153,0,153
02390515,Plymouth,Plymouth South High,43,0,43
02400010,Plympton,Dennett Elementary,92,92,0
02430305,Quincy,Atlantic Middle,152,152,0
02430310,Quincy,Broad Meadows Middle,373,373,0
02430315,Quincy,Central Middle,648,648,0
02430320,Quincy,Reay E Sterling Middle,156,156,0
02430325,Quincy,Point Webster Middle,176,176,0
02430505,Quincy,Quincy High,92,0,92
02430510,Quincy,North Quincy High,232,0,232
02460305,Reading,Arthur W Coolidge Middle,104,104,0
02460310,Reading,Walter S Parker Middle,56,56,0
02460505,Reading,Reading Memorial High,194,0,194
02480003,Revere,A. C. Whelan Elementary School,732,732,0
02480013,Revere,Beachmont Veterans Memorial School,330,330,0
02480014,Revere,Rumney Marsh Academy,194,194,0
02480025,Revere,Abraham Lincoln,573,573,0
02480035,Revere,Staff Sargent James J. Hill Elementary School,693,693,0
02480050,Revere,Paul Revere,478,478,0
02480056,Revere,Garfield Elementary School,724,724,0
02480057,Revere,Garfield Middle School,236,236,0
02480305,Revere,Susan B. Anthony Middle School,566,566,0
02480505,Revere,Revere High,456,0,456
02480520,Revere,Seacoast School,35,0,35
02490005,Richmond,Richmond Consolidated,158,158,0
02510305,Rockland,John W Rogers Middle,155,155,0
02510505,Rockland,Rockland Senior High,10,0,10
02520005,Rockport,Rockport Elementary,385,385,0
02520305,Rockport,Rockport Middle,166,166,0
02520510,Rockport,Rockport High,40,0,40
02580030,Salem,Horace Mann Laboratory,46,46,0
02580505,Salem,Salem High,4,0,4
02580515,Salem,Salem Prep High School,7,0,7
02610002,Sandwich,Forestdale School,1,1,0
02610025,Sandwich,Oak Ridge,891,891,0
02610305,Sandwich,Sandwich STEM Academy,33,33,0
02610505,Sandwich,Sandwich High,249,0,249
02620305,Saugus,Belmonte Saugus Middle,492,492,0
02620505,Saugus,Saugus High,77,0,77
02630010,Savoy,Emma L Miller Elementary School,51,51,0
02640305,Scituate,Gates Intermediate School,472,472,0
02640505,Scituate,Scituate High School,31,0,31
02650015,Seekonk,Mildred Aitken School,1,1,0
02650405,Seekonk,Dr. Kevin M. Hurley Middle School,250,250,0
02650505,Seekonk,Seekonk High,74,0,74
02660305,Sharon,Sharon Middle,565,565,0
02660505,Sharon,Sharon High,174,0,174
02690010,Sherborn,Pine Hill,408,408,0
02710005,Shrewsbury,Beal School,320,320,0
02710025,Shrewsbury,Walter J Paton,20,20,0
02710305,Shrewsbury,Sherwood Middle School,411,411,0
02710505,Shrewsbury,Shrewsbury Sr High,213,0,213
02720005,Shutesbury,Shutesbury Elementary,105,105,0
02730305,Somerset,Somerset Middle School,607,607,0
02740505,Somerville,Somerville High,82,0,82
02760008,Southborough,Mary E Finn School,1,1,0
02760305,Southborough,P Brent Trottier,14,14,0
02770005,Southbridge,Charlton Street,71,71,0
02770315,Southbridge,Southbridge Middle School,320,320,0
02770515,Southbridge,Southbridge High School,167,0,167
02780305,South Hadley,Michael E. Smith Middle School,430,430,0
