ORG_CODE,SCHOOL,DIST_NAME,SCH_NAME,STUDENTS_ENROLLED,AA,AS,HI,MR,NA,NH_PI,WH,EcoDis,SWD,ELL,FEMALE,MALE,NONBINARY,SCHOOL,primary,secondary,SY,AP1,AP2,AP3,AP4,AP5
0212,02120505,North Attleborough,North Attleboro High,21,0,4,0,1,0,0,16,2,0,0,4,17,0,02120505,0,238,2017,8,8,21,13,15
0217,02170505,North Reading,North Reading High,7,0,1,0,0,0,0,6,0,0,0,0,7,0,02170505,0,105,2017,10,23,37,17,7
0229,02290510,Peabody,Peabody Veterans Memorial High,19,1,3,1,0,0,0,14,0,0,0,2,17,0,02290510,0,203,2017,10,22,22,13,5
0231,02310505,Pembroke,Pembroke High School,48,0,0,0,0,0,1,47,4,1,0,7,41,0,02310505,0,154,2017,30,41,51,28,7
0236,02360505,Pittsfield,Pittsfield High,13,0,1,0,0,0,0,12,1,2,0,2,11,0,02360505,0,23,2017,10,8,9,1,3
0236,02360510,Pittsfield,Taconic High,18,2,0,0,1,0,0,15,5,1,0,4,14,0,02360510,0,69,2017,10,11,13,3,1
0239,02390505,Plymouth,Plymouth North High,16,0,0,0,0,0,0,16,0,0,0,3,13,0,02390505,0,153,2017,20,24,24,20,21
0239,02390515,Plymouth,Plymouth South High,7,0,1,0,1,0,0,5,0,0,0,1,6,0,02390515,0,43,2017,22,32,29,15,9
0243,02430505,Quincy,Quincy High,22,1,12,2,0,0,0,7,5,0,0,9,13,0,02430505,0,92,2017,1,4,14,27,24
0243,02430510,Quincy,North Quincy High,12,0,9,0,0,0,0,3,3,0,0,2,10,0,02430510,0,232,2017,2,13,21,20,15
0246,02460505,Reading,Reading Memorial High,36,0,3,0,1,0,0,32,2,1,0,6,30,0,02460505,0,194,2017,7,16,41,31,27
0248,02480505,Revere,Revere High,13,0,4,6,0,0,0,3,5,0,0,2,11,0,02480505,0,456,2017,14,20,53,47,47
0261,02610505,Sandwich,Sandwich High,8,0,1,0,0,0,0,7,0,0,0,1,7,0,02610505,0,249,2017,4,0,6,13,15
0262,02620505,Saugus,Saugus High,19,0,1,4,0,0,0,14,2,1,0,2,17,0,02620505,0,77,2017,46,8,8,5,0
0264,02640505,Scituate,Scituate High School,22,0,0,0,0,0,0,22,1,2,0,5,17,0,02640505,0,31,2017,19,27,29,13,7
0266,02660505,Sharon,Sharon High,48,1,22,2,1,0,0,22,0,2,0,12,36,0,02660505,0,174,2017,0,5,25,46,83
0274,02740505,Somerville,Somerville High,18,1,7,5,1,0,0,4,4,1,1,5,13,0,02740505,0,82,2017,7,8,19,14,17
0278,02780505,South Hadley,South Hadley High,6,0,0,0,0,0,0,6,2,1,0,0,6,0,02780505,0,28,2017,1,2,9,11,8
0281,02810500,Springfield,Springfield Central High,26,4,6,8,0,0,0,8,9,0,0,6,20,0,02810500,0,355,2017,29,13,19,10,8
0281,02810620,Springfield,Roger L. Putnam Vocational Technical Academy,23,5,0,13,0,0,0,5,8,1,0,6,17,0,02810620,0,23,2017,,,,,
0285,02850505,Stoughton,Stoughton High,9,3,1,0,0,0,0,5,2,0,0,1,8,0,02850505,0,326,2017,25,15,21,10,1
0292,02920505,Swansea,Joseph Case High,15,0,1,0,0,0,0,14,2,0,0,3,12,0,02920505,2,187,2017,19,10,21,6,3
0293,02930505,Taunton,Taunton High,36,2,1,0,0,0,0,33,4,0,0,5,31,0,02930505,94,206,2017,11,18,26,16,7
0305,03050505,Wakefield,Wakefield Memorial High,21,0,5,0,0,0,0,16,2,0,0,5,16,0,03050505,1,56,2017,2,7,18,11,14
