SY,ORG_CODE,SCHOOL,DIST_NAME,SCH_NAME,STUDENTS_ENROLLED,# OF TEST_TAKERS,PCT,AA,AS,HI,MR,NA,NH_PI,WH,ECODIS,SWD,ELL,FEMALE,MALE,SCH_NAME,prior secondary,secondary level,AP1,AP2,AP3,AP4,AP5
2016,0246,02460505,Reading,Reading Memorial High,25,22,88,0,2,0,0,0,0,23,1,0,0,5,20,Reading Memorial High,0,229,2,7,9,4,0
2016,0248,02480505,Revere,Revere High,15,15,100,0,1,8,1,0,0,5,0,0,0,3,12,Revere High,0,480,7,3,2,2,1
2016,0262,02620505,Saugus,Saugus High,19,18,94.73684211,0,1,3,0,0,0,15,3,0,0,7,12,Saugus High,0,75,6,4,6,2,0
2016,0264,02640505,Scituate,Scituate High School,27,0,0,0,0,0,0,0,0,27,0,1,0,6,21,Scituate High School,0,46,***,***,***,***,***
2016,0266,02660505,Sharon,Sharon High,24,15,62.5,0,12,0,0,0,0,12,1,0,0,3,21,Sharon High,0,109,1,0,3,3,8
2016,0274,02740505,Somerville,Somerville High,38,35,92.10526316,1,13,5,1,0,0,18,10,0,0,8,30,Somerville High,0,121,8,12,6,4,5
2016,0278,02780505,South Hadley,South Hadley High,7,5,71.42857143,0,0,0,1,0,0,6,0,0,0,2,5,South Hadley High,0,53,***,***,***,***,***
2016,0281,02810500,Springfield,Springfield Central High,30,28,93.33333333,7,7,8,0,0,0,8,11,0,1,11,19,Springfield Central High,0,406,20,2,5,1,0
2016,0281,02810620,Springfield,Roger L. Putnam Vocational Technical Academy,7,5,71.42857143,1,0,3,0,0,0,3,3,0,0,1,6,Roger L. Putnam Vocational Technical Academy,0,225,***,***,***,***,***
2016,0285,02850505,Stoughton,Stoughton High,17,15,88.23529412,3,4,1,0,0,1,8,3,0,0,2,15,Stoughton High,0,471,6,4,1,4,0
2016,0292,02920505,Swansea,Joseph Case High,9,9,100,0,0,0,0,0,0,9,1,0,0,1,8,Joseph Case High,0,163,4,0,4,1,0
2016,0305,03050505,Wakefield,Wakefield Memorial High,16,4,25,0,1,0,0,0,0,15,1,0,0,7,9,Wakefield Memorial High,0,88,***,***,***,***,***
2016,0314,03140505,Watertown,Watertown High,10,7,70,0,0,0,1,0,0,9,2,1,0,0,10,Watertown High,0,83,1,1,3,1,1
2016,0317,03170505,Wellesley,Wellesley Sr High,50,41,82,0,10,5,4,0,0,31,1,1,0,12,38,Wellesley Sr High,0,150,1,3,16,17,4
2016,0325,03250505,Westfield,Westfield High,6,3,50,0,0,0,0,0,0,6,1,0,0,0,6,Westfield High,0,103,***,***,***,***,***
2016,0326,03260505,Westford,Westford Academy,15,15,100,0,7,0,0,0,0,8,1,0,0,2,13,Westford Academy,0,673,0,0,1,3,11
2016,0330,03300505,Weston,Weston High,25,23,92,1,7,0,1,0,0,16,2,0,1,10,15,Weston High,0,275,0,2,11,5,5
2016,0335,03350505,Westwood,Westwood High,24,20,83.33333333,0,1,1,0,0,0,22,2,1,0,4,20,Westwood High,0,147,0,0,4,3,13
2016,0336,03360505,Weymouth,Weymouth High School,19,13,68.42105263,1,3,1,1,0,0,13,3,0,0,2,17,Weymouth High School,0,467,3,2,6,1,1
2016,0344,03440505,Winchester,Winchester High School,52,27,51.92307692,2,21,1,1,0,0,27,1,1,0,15,37,Winchester High School,0,208,3,4,6,2,12
2016,0430,04300305,Advanced Math and Science Academy Charter (District),Advanced Math and Science Academy Charter School,55,54,98.18181818,0,24,2,2,0,0,27,2,1,0,27,28,Advanced Math and Science Academy Charter School,424,285,3,5,12,15,19
2016,0487,04870550,Prospect Hill Academy Charter (District),Prospect Hill Academy Charter School,24,18,75,8,5,6,1,0,0,4,7,2,0,6,18,Prospect Hill Academy Charter School,0,97,11,2,4,1,0
2016,0494,04940205,Pioneer Charter School of Science (District),Pioneer Charter School of Science,12,12,100,5,0,2,0,0,0,5,5,0,0,5,7,Pioneer Charter School of Science,140,108,2,1,5,2,2
2016,0625,06250505,Bridgewater-Raynham,Bridgewater-Raynham Regional,12,12,100,1,0,1,0,0,0,10,1,0,0,0,12,Bridgewater-Raynham Regional,0,543,2,1,7,2,0
2016,0645,06450505,Dennis-Yarmouth,Dennis-Yarmouth Regional High,20,13,65,0,2,1,0,0,0,17,5,0,0,1,19,Dennis-Yarmouth Regional High,0,329,5,6,2,0,0
2016,0658,06580505,Dudley-Charlton Reg,Shepherd Hill Regional High,13,12,92.30769231,0,0,0,0,0,0,13,3,0,0,2,11,Shepherd Hill Regional High,0,91,6,1,1,3,1
2016,0675,06750505,Hamilton-Wenham,Hamilton-Wenham Regional High,16,11,68.75,1,2,0,0,0,0,13,0,1,0,4,12,Hamilton-Wenham Regional High,0,29,3,1,3,2,2
2016,0680,06800505,Hampden-Wilbraham,Minnechaug Regional High,9,4,44.44444444,0,1,0,0,0,0,8,1,0,0,1,8,Minnechaug Regional High,0,127,***,***,***,***,***
2016,0705,07050505,Masconomet,Masconomet Regional High School,33,25,75.75757576,0,1,2,0,0,0,30,0,0,0,1,32,Masconomet Regional High School,0,284,2,10,6,5,2
2016,0710,07100510,Mendon-Upton,Nipmuc Regional High,16,16,100,0,0,0,0,0,0,16,1,0,0,2,14,Nipmuc Regional High,0,86,1,0,2,5,8
2016,0730,07300505,Northboro-Southboro,Algonquin Regional High,15,14,93.33333333,0,5,0,0,0,0,10,1,0,0,2,13,Algonquin Regional High,0,492,2,1,4,2,5
2016,0760,07600505,Silver Lake,Silver Lake Regional High,15,11,73.33333333,0,0,0,0,0,0,15,1,0,0,1,14,Silver Lake Regional High,0,296,4,2,3,1,1
2016,0773,07730505,Triton,Triton Regional High School,13,11,84.61538462,0,0,0,0,0,0,13,1,0,0,0,13,Triton Regional High School,0,70,2,3,4,2,0
2016,0805,08050605,Blackstone Valley Regional Vocational Technical,Blackstone Valley,6,5,83.33333333,0,0,0,0,0,0,6,1,0,0,1,5,Blackstone Valley,0,99,***,***,***,***,***
2016,0818,08180605,Franklin County Regional Vocational Technical,Franklin County Technical,11,11,100,0,0,0,0,0,0,11,0,0,0,1,10,Franklin County Technical,0,11,10,0,0,1,0
2016,0852,08520605,Nashoba Valley Regional Vocational Technical,Nashoba Valley Technical High School,9,7,77.77777778,0,0,0,0,0,0,9,3,0,0,0,9,Nashoba Valley Technical High School,0,8,6,1,0,0,0
2016,,,Massachussets,Massachussets,1527,1151,75.4,65,309,80,34,0,2,1014,150,19,8,321,1183,TOTAL,671,14663,251,139,254,194,261
