SY,ORG_CODE,School Code,District,School Name,# STUDENTS_ENROLLED,AA,AS,HI,MR,NA,NH_PI,WH,EcoDis,SWD,ELL,FEMALE,MALE,Tests Taken,Score=1,Score=2,Score=3,Score=4,Score=5
2016,325,3250505,Westfield,Westfield High,6,0,0,0,0,0,0,6,1,0,0,0,6,3,,,,,
2016,326,3260505,Westford,Westford Academy,15,0,7,0,0,0,0,8,1,0,0,2,13,16,0,0,2,3,11
2016,330,3300505,Weston,Weston High,25,1,7,0,1,0,0,16,2,0,1,10,15,23,0,2,11,5,5
2016,335,3350505,Westwood,Westwood High,24,0,1,1,0,0,0,22,2,1,0,4,20,21,0,0,4,3,14
2016,336,3360505,Weymouth,Weymouth High School,19,1,3,1,1,0,0,13,3,0,0,2,17,14,3,2,6,2,1
2016,344,3440505,Winchester,Winchester High School,52,2,21,1,1,0,0,27,1,1,0,15,37,28,3,4,6,2,13
2016,430,4300305,Advanced Math and Science Academy Charter (District),Advanced Math and Science Academy Charter School,55,0,24,2,2,0,0,27,2,1,0,27,28,54,3,5,12,15,19
2016,487,4870550,Prospect Hill Academy Charter (District),Prospect Hill Academy Charter School,24,8,5,6,1,0,0,4,7,2,0,6,18,18,11,2,4,1,0
2016,494,4940205,Pioneer Charter School of Science (District),Pioneer Charter School of Science,12,5,0,2,0,0,0,5,5,0,0,5,7,12,2,1,5,2,2
2016,625,6250505,Bridgewater-Raynham,Bridgewater-Raynham Regional,12,1,0,1,0,0,0,10,1,0,0,0,12,12,2,1,7,2,0
2016,645,6450505,Dennis-Yarmouth,Dennis-Yarmouth Regional High,20,0,2,1,0,0,0,17,5,0,0,1,19,13,5,6,2,0,0
2016,658,6580505,Dudley-Charlton Reg,Shepherd Hill Regional High,13,0,0,0,0,0,0,13,3,0,0,2,11,12,6,1,1,3,1
2016,675,6750505,Hamilton-Wenham,Hamilton-Wenham Regional High,16,1,2,0,0,0,0,13,0,1,0,4,12,11,3,1,3,2,2
2016,680,6800505,Hampden-Wilbraham,Minnechaug Regional High,9,0,1,0,0,0,0,8,1,0,0,1,8,4,,,,,
2016,705,7050505,Masconomet,Masconomet Regional High School,33,0,1,2,0,0,0,30,0,0,0,1,32,25,2,10,6,5,2
2016,710,7100510,Mendon-Upton,Nipmuc Regional High,16,0,0,0,0,0,0,16,1,0,0,2,14,16,1,0,2,5,8
2016,730,7300505,Northboro-Southboro,Algonquin Regional High,15,0,5,0,0,0,0,10,1,0,0,2,13,15,2,1,4,2,6
2016,760,7600505,Silver Lake,Silver Lake Regional High,15,0,0,0,0,0,0,15,1,0,0,1,14,11,4,2,3,1,1
2016,773,7730505,Triton,Triton Regional High School,13,0,0,0,0,0,0,13,1,0,0,0,13,11,2,3,4,2,0
2016,805,8050605,Blackstone Valley Regional Vocational Technical,Blackstone Valley,6,0,0,0,0,0,0,6,1,0,0,1,5,5,,,,,
2016,818,8180605,Franklin County Regional Vocational Technical,Franklin County Technical,11,0,0,0,0,0,0,11,0,0,0,1,10,11,10,0,0,1,0
2016,852,8520605,Nashoba Valley Regional Vocational Technical,Nashoba Valley Technical High School,9,0,0,0,0,0,0,9,3,0,0,0,9,7,,,,,
2016,0,0,Massachusetts,Massachusetts,1527,65,309,80,34,0,2,1014,150,19,8,321,1183,1815,326,193,353,293,377
